date,twit_all,twit_all_pos,twit_all_neg,twit_all_neu,twit_trump,twit_trump_pos,twit_trump_neg,twit_trump_neu,twit_biden,twit_biden_pos,twit_biden_neg,twit_biden_neu,tb_twit_all,tb_twit_all_pos,tb_twit_all_neg,tb_twit_all_neu,tb_twit_trump,tb_twit_trump_pos,tb_twit_trump_neg,tb_twit_trump_neu,tb_twit_biden,tb_twit_biden_pos,tb_twit_biden_neg,tb_twit_biden_neu,twit_time,redd_all,redd_all_pos,redd_all_neg,redd_all_neu,redd_trump,redd_trump_pos,redd_trump_neg,redd_trump_neu,redd_biden,redd_biden_pos,redd_biden_neg,redd_biden_neu,tb_redd_all,tb_redd_all_pos,tb_redd_all_neg,tb_redd_all_neu,tb_redd_trump,tb_redd_trump_pos,tb_redd_trump_neg,tb_redd_trump_neu,tb_redd_biden,tb_redd_biden_pos,tb_redd_biden_neg,tb_redd_biden_neu,redd_time
07/19/2020,187188.0,71624.0,96511.0,19053.0,109361.0,20303.0,78734.0,10324.0,77827.0,51321.0,17777.0,8729.0,187188.0,93552.0,31132.0,62504.0,109361.0,39425.0,22083.0,47853.0,77827.0,54127.0,9049.0,14651.0,1541.601753,26031.0,11034.0,11813.0,3184.0,22416.0,9276.0,10541.0,2599.0,3615.0,1758.0,1272.0,585.0,26031.0,12885.0,8402.0,4744.0,22416.0,10946.0,7453.0,4017.0,3615.0,1939.0,949.0,727.0,845.2063434
07/20/2020,185731.0,76770.0,76199.0,32762.0,79925.0,28869.0,43767.0,7289.0,105806.0,47901.0,32432.0,25473.0,185731.0,97625.0,45742.0,42364.0,79925.0,35524.0,23538.0,20863.0,105806.0,62101.0,22204.0,21501.0,1852.769056,27591.0,11622.0,12415.0,3554.0,23621.0,9746.0,10962.0,2913.0,3970.0,1876.0,1453.0,641.0,27591.0,13642.0,8786.0,5163.0,23621.0,11518.0,7745.0,4358.0,3970.0,2124.0,1041.0,805.0,914.0722115
07/21/2020,182707.0,59544.0,94282.0,28881.0,116255.0,35826.0,64863.0,15566.0,66452.0,23718.0,29419.0,13315.0,182707.0,61030.0,49009.0,72668.0,116255.0,36897.0,23095.0,56263.0,66452.0,24133.0,25914.0,16405.0,1580.215497,25137.0,10716.0,11145.0,3276.0,21816.0,9079.0,9986.0,2751.0,3321.0,1637.0,1159.0,525.0,25137.0,12567.0,7846.0,4724.0,21816.0,10736.0,7026.0,4054.0,3321.0,1831.0,820.0,670.0,883.5741611
07/22/2020,171484.0,57665.0,84606.0,29213.0,93244.0,33295.0,47964.0,11985.0,78240.0,24370.0,36642.0,17228.0,171484.0,69753.0,47676.0,54055.0,93244.0,37900.0,16812.0,38532.0,78240.0,31853.0,30864.0,15523.0,1516.329931,26124.0,11122.0,11924.0,3078.0,22903.0,9541.0,10754.0,2608.0,3221.0,1581.0,1170.0,470.0,26124.0,12858.0,8583.0,4683.0,22903.0,11069.0,7740.0,4094.0,3221.0,1789.0,843.0,589.0,888.8254653999999
07/23/2020,133643.0,60813.0,47450.0,25380.0,82811.0,31987.0,34691.0,16133.0,50832.0,28826.0,12759.0,9247.0,133643.0,73282.0,28069.0,32292.0,82811.0,44663.0,20397.0,17751.0,50832.0,28619.0,7672.0,14541.0,1339.721893,23337.0,9790.0,10672.0,2875.0,20566.0,8453.0,9652.0,2461.0,2771.0,1337.0,1020.0,414.0,23337.0,11625.0,7448.0,4264.0,20566.0,10110.0,6746.0,3710.0,2771.0,1515.0,702.0,554.0,757.6049657000002
07/24/2020,102345.0,30971.0,47050.0,24324.0,73323.0,21340.0,34644.0,17339.0,29022.0,9631.0,12406.0,6985.0,102345.0,49115.0,19259.0,33971.0,73323.0,37919.0,13263.0,22141.0,29022.0,11196.0,5996.0,11830.0,1046.689412,25895.0,10836.0,11782.0,3277.0,22902.0,9419.0,10701.0,2782.0,2993.0,1417.0,1081.0,495.0,25895.0,12780.0,8182.0,4933.0,22902.0,11154.0,7444.0,4304.0,2993.0,1626.0,738.0,629.0,839.2187507000001
07/25/2020,96123.0,40989.0,31293.0,23841.0,56272.0,26801.0,23127.0,6344.0,39851.0,14188.0,8166.0,17497.0,96123.0,45519.0,14979.0,35625.0,56272.0,30796.0,10335.0,15141.0,39851.0,14723.0,4644.0,20484.0,956.3227074,22818.0,9660.0,10349.0,2809.0,19805.0,8234.0,9286.0,2285.0,3013.0,1426.0,1063.0,524.0,22818.0,11434.0,7337.0,4047.0,19805.0,9818.0,6556.0,3431.0,3013.0,1616.0,781.0,616.0,755.5520203
07/26/2020,147815.0,59448.0,51511.0,36856.0,78714.0,28452.0,27640.0,22622.0,69101.0,30996.0,23871.0,14234.0,147815.0,67159.0,21758.0,58898.0,78714.0,35325.0,10759.0,32630.0,69101.0,31834.0,10999.0,26268.0,1312.491163,22919.0,9588.0,10465.0,2866.0,19656.0,7999.0,9297.0,2360.0,3263.0,1589.0,1168.0,506.0,22919.0,11517.0,7133.0,4269.0,19656.0,9674.0,6362.0,3620.0,3263.0,1843.0,771.0,649.0,754.7961897999999
07/27/2020,123128.0,53302.0,49159.0,20667.0,61479.0,14612.0,36079.0,10788.0,61649.0,38690.0,13080.0,9879.0,123128.0,54741.0,33436.0,34951.0,61479.0,24704.0,19874.0,16901.0,61649.0,30037.0,13562.0,18050.0,1160.608695,22133.0,9446.0,9907.0,2780.0,18864.0,7861.0,8706.0,2297.0,3269.0,1585.0,1201.0,483.0,22133.0,11174.0,6802.0,4157.0,18864.0,9382.0,5977.0,3505.0,3269.0,1792.0,825.0,652.0,764.9923186000002
07/28/2020,165929.0,67529.0,65145.0,33255.0,114442.0,49644.0,48244.0,16554.0,51487.0,17885.0,16901.0,16701.0,165929.0,67237.0,38840.0,59852.0,114442.0,46868.0,28078.0,39496.0,51487.0,20369.0,10762.0,20356.0,1487.172737,25616.0,10656.0,11584.0,3376.0,21611.0,8763.0,10130.0,2718.0,4005.0,1893.0,1454.0,658.0,25616.0,12657.0,8262.0,4697.0,21611.0,10447.0,7279.0,3885.0,4005.0,2210.0,983.0,812.0,827.7726313999998
